Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 93.53     61.11    61.11    31264     0.00     0.00  HeirScheduleHost::receive_data_packet(Packet*)
  6.08     65.08     3.97    31250     0.00     0.00  void std::__introsort_loop<__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int> > >, long, __gnu_cxx::__ops::_Iter_less_iter>(__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int> > >, __gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int> > >, long, __gnu_cxx::__ops::_Iter_less_iter)
  0.09     65.14     0.06   705508     0.00     0.00  void std::__adjust_heap<__gnu_cxx::__normal_iterator<Event**, std::vector<Event*, std::allocator<Event*> > >, long, Event*, __gnu_cxx::__ops::_Iter_comp_iter<EventComparator> >(__gnu_cxx::__normal_iterator<Event**, std::vector<Event*, std::allocator<Event*> > >, long, long, Event*, __gnu_cxx::__ops::_Iter_comp_iter<EventComparator>)
  0.05     65.17     0.03  1411022     0.00     0.00  void std::__push_heap<__gnu_cxx::__normal_iterator<Event**, std::vector<Event*, std::allocator<Event*> > >, long, Event*, __gnu_cxx::__ops::_Iter_comp_val<EventComparator> >(__gnu_cxx::__normal_iterator<Event**, std::vector<Event*, std::allocator<Event*> > >, long, long, Event*, __gnu_cxx::__ops::_Iter_comp_val<EventComparator>&)
  0.03     65.19     0.02   188954     0.00     0.00  PacketQueuingEvent::process_event()
  0.03     65.21     0.02    62528     0.00     0.00  std::vector<unsigned int, std::allocator<unsigned int> >::operator=(std::vector<unsigned int, std::allocator<unsigned int> > const&)
  0.03     65.23     0.02    31250     0.00     0.00  std::_Rb_tree_iterator<std::pair<unsigned int const, unsigned int> > std::_Rb_tree<unsigned int, std::pair<unsigned int const, unsigned int>, std::_Select1st<std::pair<unsigned int const, unsigned int> >, std::less<unsigned int>, std::allocator<std::pair<unsigned int const, unsigned int> > >::_M_emplace_hint_unique<std::piecewise_construct_t const&, std::tuple<unsigned int const&>, std::tuple<> >(std::_Rb_tree_const_iterator<std::pair<unsigned int const, unsigned int> >, std::piecewise_construct_t const&, std::tuple<unsigned int const&>&&, std::tuple<>&&)
  0.03     65.25     0.02        1     0.02    65.32  run_scenario()
  0.03     65.27     0.02                             void std::__adjust_heap<__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int> > >, long, unsigned int, __gnu_cxx::__ops::_Iter_less_iter>(__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int> > >, long, long, unsigned int, __gnu_cxx::__ops::_Iter_less_iter)
  0.02     65.28     0.01   377396     0.00     0.00  QueueProcessingEvent::process_event()
  0.02     65.29     0.01   377396     0.00     0.00  QueueProcessingEvent::~QueueProcessingEvent()
  0.02     65.30     0.01   357360     0.00     0.00  HeirScheduleIPRPkt::HeirScheduleIPRPkt(double, Host*, Host*)
  0.02     65.31     0.01   188954     0.00     0.00  HeirScheduleTopology::get_next_hop(Packet*, Queue*)
  0.02     65.32     0.01    89340     0.00     0.00  std::__detail::_Map_base<LocalArbiter*, std::pair<LocalArbiter* const, HeirScheduleCoreDenyPkt*>, std::allocator<std::pair<LocalArbiter* const, HeirScheduleCoreDenyPkt*> >, std::__detail::_Select1st, std::equal_to<LocalArbiter*>, std::hash<LocalArbiter*>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true>, true>::operator[](LocalArbiter* const&)
  0.02     65.33     0.01    31949     0.00     0.00  PacketArrivalEvent::process_event()
  0.01     65.34     0.01    89345     0.00     0.00  AllocateUplinkEvent::AllocateUplinkEvent(double, LocalArbiter*)
  0.01     65.34     0.01                             RetxTimeoutEvent::RetxTimeoutEvent(double, Flow*)
  0.00     65.34     0.00   957336     0.00     0.00  get_current_time()
  0.00     65.34     0.00   714720     0.00     0.00  std::__detail::_Map_base<LocalArbiter*, std::pair<LocalArbiter* const, HeirScheduleIPRPkt*>, std::allocator<std::pair<LocalArbiter* const, HeirScheduleIPRPkt*> >, std::__detail::_Select1st, std::equal_to<LocalArbiter*>, std::hash<LocalArbiter*>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true>, true>::operator[](LocalArbiter* const&)
  0.00     65.34     0.00   705513     0.00     0.00  add_to_event_queue(Event*)
  0.00     65.34     0.00   529753     0.00     0.00  void std::vector<unsigned int, std::allocator<unsigned int> >::_M_realloc_insert<unsigned int const&>(__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int> > >, unsigned int const&)
  0.00     65.34     0.00   377396     0.00     0.00  Queue::deque()
  0.00     65.34     0.00   377223     0.00     0.00  Queue::get_transmission_delay(unsigned int)
  0.00     65.34     0.00   357360     0.00     0.00  std::vector<ipr*, std::allocator<ipr*> >::operator=(std::vector<ipr*, std::allocator<ipr*> > const&)
  0.00     65.34     0.00   188954     0.00     0.00  PacketQueuingEvent::~PacketQueuingEvent()
  0.00     65.34     0.00   187584     0.00     0.00  Queue::enque(Packet*)
  0.00     65.34     0.00   125078     0.00     0.00  std::set<unsigned int, std::less<unsigned int>, std::allocator<unsigned int> >::~set()
  0.00     65.34     0.00    89438     0.00     0.00  std::__detail::_Map_base<LocalArbiter*, std::pair<LocalArbiter* const, HeirScheduleCoreSCHDPkt*>, std::allocator<std::pair<LocalArbiter* const, HeirScheduleCoreSCHDPkt*> >, std::__detail::_Select1st, std::equal_to<LocalArbiter*>, std::hash<LocalArbiter*>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true>, true>::operator[](LocalArbiter* const&)
  0.00     65.34     0.00    89340     0.00     0.00  LocalArbiter::allocate_uplink()
  0.00     65.34     0.00    89340     0.00     0.00  AllocateUplinkEvent::process_event()
  0.00     65.34     0.00    89340     0.00     0.00  HeirScheduleCoreDenyPkt::HeirScheduleCoreDenyPkt(double, Host*, Host*)
  0.00     65.34     0.00    89340     0.00     0.00  HeirScheduleCoreSCHDPkt::HeirScheduleCoreSCHDPkt(double, Host*, Host*)
  0.00     65.34     0.00    89340     0.00     0.00  HeirScheduleCoreRequestPkt::HeirScheduleCoreRequestPkt(double, Host*, Host*)
  0.00     65.34     0.00    89340     0.00     0.00  std::_Hashtable<LocalArbiter*, std::pair<LocalArbiter* const, HeirScheduleIPRPkt*>, std::allocator<std::pair<LocalArbiter* const, HeirScheduleIPRPkt*> >, std::__detail::_Select1st, std::equal_to<LocalArbiter*>, std::hash<LocalArbiter*>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_M_rehash(unsigned long, unsigned long const&)
  0.00     65.34     0.00    89340     0.00     0.00  std::_Hashtable<LocalArbiter*, std::pair<LocalArbiter* const, HeirScheduleIPRPkt*>, std::allocator<std::pair<LocalArbiter* const, HeirScheduleIPRPkt*> >, std::__detail::_Select1st, std::equal_to<LocalArbiter*>, std::hash<LocalArbiter*>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::~_Hashtable()
  0.00     65.34     0.00    89339     0.00     0.00  AllocateUplinkEvent::~AllocateUplinkEvent()
  0.00     65.34     0.00    62778     0.00     0.00  std::__detail::_Map_base<unsigned int, std::pair<unsigned int const, std::unordered_map<unsigned int, unsigned int, std::hash<unsigned int>, std::equal_to<unsigned int>, std::allocator<std::pair<unsigned int const, unsigned int> > > >, std::allocator<std::pair<unsigned int const, std::unordered_map<unsigned int, unsigned int, std::hash<unsigned int>, std::equal_to<unsigned int>, std::allocator<std::pair<unsigned int const, unsigned int> > > > >, std::__detail::_Select1st, std::equal_to<unsigned int>, std::hash<unsigned int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true>, true>::operator[](unsigned int const&)
  0.00     65.34     0.00    62778     0.00     0.00  std::__detail::_Map_base<unsigned int, std::pair<unsigned int const, unsigned int>, std::allocator<std::pair<unsigned int const, unsigned int> >, std::__detail::_Select1st, std::equal_to<unsigned int>, std::hash<unsigned int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true>, true>::operator[](unsigned int const&)
  0.00     65.34     0.00    62501     0.00     0.00  std::pair<std::_Rb_tree_iterator<Flow*>, bool> std::_Rb_tree<Flow*, Flow*, std::_Identity<Flow*>, std::less<Flow*>, std::allocator<Flow*> >::_M_insert_unique<Flow* const&>(Flow* const&)
  0.00     65.34     0.00    31949     0.00     0.00  PacketArrivalEvent::~PacketArrivalEvent()
  0.00     65.34     0.00    31949     0.00     0.00  PacketQueuingEvent::PacketQueuingEvent(double, Packet*, Queue*)
  0.00     65.34     0.00    31612     0.00     0.00  HeirScheduleHost::receive(Packet*)
  0.00     65.34     0.00    31265     0.00     0.00  std::_Rb_tree<Flow*, Flow*, std::_Identity<Flow*>, std::less<Flow*>, std::allocator<Flow*> >::_M_erase(std::_Rb_tree_node<Flow*>*)
  0.00     65.34     0.00    31264     0.00     0.00  HeirScheduleHost::get_data_packet(unsigned int)
  0.00     65.34     0.00    31264     0.00     0.00  HeirScheduleDataPkt::HeirScheduleDataPkt(Host*, Host*, unsigned int, unsigned int, std::vector<Flow*, std::allocator<Flow*> >, std::vector<unsigned int, std::allocator<unsigned int> >, std::vector<unsigned int, std::allocator<unsigned int> >)
  0.00     65.34     0.00    31264     0.00     0.00  std::vector<Flow*, std::allocator<Flow*> >::operator=(std::vector<Flow*, std::allocator<Flow*> > const&)
  0.00     65.34     0.00    31250     0.00     0.00  void std::vector<Flow*, std::allocator<Flow*> >::_M_realloc_insert<Flow* const&>(__gnu_cxx::__normal_iterator<Flow**, std::vector<Flow*, std::allocator<Flow*> > >, Flow* const&)
  0.00     65.34     0.00    31250     0.00     0.00  std::_Rb_tree<unsigned int, std::pair<unsigned int const, unsigned int>, std::_Select1st<std::pair<unsigned int const, unsigned int> >, std::less<unsigned int>, std::allocator<std::pair<unsigned int const, unsigned int> > >::_M_get_insert_hint_unique_pos(std::_Rb_tree_const_iterator<std::pair<unsigned int const, unsigned int> >, unsigned int const&)
  0.00     65.34     0.00    31250     0.00     0.00  void std::__insertion_sort<__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int> > >, __gnu_cxx::__ops::_Iter_less_iter>(__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int> > >, __gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int> > >, __gnu_cxx::__ops::_Iter_less_iter)
  0.00     65.34     0.00    17869     0.00     0.00  CoreAllocateLinkEvent::CoreAllocateLinkEvent(double, GlobalArbiter*)
  0.00     65.34     0.00    17868     0.00     0.00  GlobalArbiter::allocate_core_link()
  0.00     65.34     0.00    17868     0.00     0.00  CoreAllocateLinkEvent::process_event()
  0.00     65.34     0.00    17868     0.00     0.00  CoreAllocateLinkEvent::~CoreAllocateLinkEvent()
  0.00     65.34     0.00    17868     0.00     0.00  std::_Hashtable<LocalArbiter*, std::pair<LocalArbiter* const, HeirScheduleCoreDenyPkt*>, std::allocator<std::pair<LocalArbiter* const, HeirScheduleCoreDenyPkt*> >, std::__detail::_Select1st, std::equal_to<LocalArbiter*>, std::hash<LocalArbiter*>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_M_rehash(unsigned long, unsigned long const&)
  0.00     65.34     0.00    17868     0.00     0.00  std::_Hashtable<LocalArbiter*, std::pair<LocalArbiter* const, HeirScheduleCoreDenyPkt*>, std::allocator<std::pair<LocalArbiter* const, HeirScheduleCoreDenyPkt*> >, std::__detail::_Select1st, std::equal_to<LocalArbiter*>, std::hash<LocalArbiter*>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::~_Hashtable()
